"SMILES","Outcome"
"CN(CC1=CC=C(Cl)N=C1)C(C)=NC#N",1
"CN(CC1=CC=C(Cl)N=C1)C(C)=NC#N",1
"[O-][N+](=O)NC1=NCCN1CC1=CC=C(Cl)N=C1",1
"[O-][N+](=O)NC1=NCCN1CC1=CC=C(Cl)N=C1",0
"CNC(NCC1=CN=C(Cl)S1)=N[N+]([O-])=O",1
"CNC(NCC1=CN=C(Cl)S1)=N[N+]([O-])=O",1
"CNC(NCC1=CN=C(Cl)S1)=N[N+]([O-])=O",1
"CN=C(NCC1CCOC1)N[N+]([O-])=O",1
"CN=C(NCC1CCOC1)N[N+]([O-])=O",0
"CN=C(NCC1CCOC1)N[N+]([O-])=O",1
"CN1COCN(CC2=CN=C(Cl)S2)C1=N[N+]([O-])=O",1
"NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F",1
"CCOC1=CC=C(C=C1)C(C)(C)COCC1=CC=CC(OC2=CC=CC=C2)=C1",1
"CNC(=O)OC1=CC=CC2=CC=CC=C12",1
"CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1",1
"CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1",1
"CCC1CCCC(OC2CCC(C(C)O2)N(C)C)C(C)C(=O)C2=CC3C4CC(CC4C=CC3C2CC(=O)O1)OC1OC(C)C(OC)C(OC)C1OC",1
"CCC1CCCC(OC2CCC(C(C)O2)N(C)C)C(C)C(=O)C2=CC3C4CC(CC4C(C)=CC3C2CC(=O)O1)OC1OC(C)C(OC)C(OC)C1OC",1
"CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1",1
"CC1=C(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)C=CC=C1C1=CC=CC=C1",1
"CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C",1
"CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=C(F)C=C1",1
"CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1",1
"CC(C)C(C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1)C1=CC=C(Cl)C=C1",1
"CC(C)(COCC1=CC(OC2=CC=CC=C2)=CC=C1)C1=CC=C(OC(F)(F)Br)C=C1",1
"CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C",1
"CCC(C)C1OC2(CC3CC(CC=C(C)C(OC4CC(OC)C(OC5CC(OC)C(O)C(C)O5)C(C)O4)C(C)C=CC=C4/COC5C(O)C(C)=CC(C(=O)O3)C45O)O2)C=CC1C",1
"COP(=O)(OC)OC(C)=CC(=O)N(C)C",1
"CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C",1
